pair,0,1,2,3,4,5,6,7,8,9,10,11,12
CHZ/USDC,1742083200000,0.053,0.053,0.053,0.053,0,1742169599999,0,0,0,0,False,0
RSS3/USDC,1742083200000,0.03251,0.03251,0.03251,0.03251,0,1742169599999,0,0,0,0,False,0
YFI/USDC,1742083200000,5906,5906,5906,5906,0,1742169599999,0,0,0,0,False,0
SSV/USDC,1742083200000,6.99,6.99,6.99,6.99,0,1742169599999,0,0,0,0,False,0
FTM/USDC,1742083200000,0.7001,0.7001,0.7001,0.7001,0,1742169599999,0,0,0,0,False,0
BAL/USDC,1742083200000,1.977,1.977,1.977,1.977,0,1742169599999,0,0,0,0,False,0
MMS/ETH,1742083200000,0.01223,0.01223,0.01223,0.01223,0,1742169599999,0,0,0,0,False,0
DODO/USDC,1742083200000,0.0735,0.0735,0.0695,0.07,3522.63439,1742169599999,49159.5,659,49159.5,3522.63439,False,0.071668
DEGEN/USDC,1742083200000,0.1,0.1,0.1,0.1,0,1742169599999,0,0,0,0,False,0
ZUZALU/ETH,1742083200000,0.00000241,0.00000241,0.00000241,0.00000241,0,1742169599999,0,0,0,0,False,0
LINK/USDT,1742083200000,203.1,203.1,203.1,203.1,0,1742169599999,0,0,0,0,False,0
ZUZALU/USDC,1742083200000,0.004025,0.004025,0.004025,0.004025,0,1742169599999,0,0,0,0,False,0
LADYS/USDC,1742083200000,0.00000004721,0.00000004721,0.00000004721,0.00000004721,0,1742169599999,0,0,0,0,False,0
LINK/USDC,1742083200000,14.02,14.19,13.5,13.57,21752.66815,1742169599999,1564.0891,2920,1564.0891,21752.66815,False,14.009
LRC/USDC,1742083200000,0.1307,0.1307,0.1307,0.1307,0,1742169599999,0,0,0,0,False,0
POWR/USDC,1742083200000,0.2232,0.2232,0.2232,0.2232,0,1742169599999,0,0,0,0,False,0
OMG/USDC,1742083200000,0.2649,0.2649,0.2649,0.2649,0,1742169599999,0,0,0,0,False,0
PENDLE/USDC,1742083200000,2.194,2.236,2.109,2.12,38509.575161,1742169599999,17701.786,7303,17701.786,38509.575161,False,2.1906
AXS/USDC,1742083200000,4.305,4.305,4.305,4.305,0,1742169599999,0,0,0,0,False,0
FXS/USDC,1742083200000,1.777,1.777,1.777,1.777,0,1742169599999,0,0,0,0,False,0
SAND/USDC,1742083200000,0.2703,0.2703,0.2703,0.2703,0,1742169599999,0,0,0,0,False,0
APT/USDC,1742083200000,5.351,5.392,5.161,5.196,44489.627513,1742169599999,8405.094,6455,8405.094,44489.627513,False,5.3545
ACH/USDC,1742083200000,0.03432,0.03432,0.03432,0.03432,0,1742169599999,0,0,0,0,False,0
W/USDC,1742083200000,0.1651,0.1651,0.1651,0.1651,0,1742169599999,0,0,0,0,False,0
AGIX/USDC,1742083200000,0.9077,0.9077,0.9077,0.9077,0,1742169599999,0,0,0,0,False,0
STORJ/USDC,1742083200000,0.38,0.38,0.38,0.38,0,1742169599999,0,0,0,0,False,0
OMNI/USDC,1742083200000,5.14,5.14,5.14,5.14,0,1742169599999,0,0,0,0,False,0
LBS/USDT,1742083200000,10000000,10000000,10000000,10000000,0,1742169599999,0,0,0,0,False,0
