pair,0,1,2,3,4,5,6,7,8,9,10,11,12
CHZ/USDC,1741910400000,0.053,0.053,0.053,0.053,0,1741996799999,0,0,0,0,False,0
FTM/USDC,1741910400000,0.7001,0.7001,0.7001,0.7001,0,1741996799999,0,0,0,0,False,0
YFI/USDC,1741910400000,5906,5906,5906,5906,0,1741996799999,0,0,0,0,False,0
RSS3/USDC,1741910400000,0.03251,0.03251,0.03251,0.03251,0,1741996799999,0,0,0,0,False,0
SSV/USDC,1741910400000,6.99,6.99,6.99,6.99,0,1741996799999,0,0,0,0,False,0
BAL/USDC,1741910400000,1.977,1.977,1.977,1.977,0,1741996799999,0,0,0,0,False,0
MMS/ETH,1741910400000,0.01223,0.01223,0.01223,0.01223,0,1741996799999,0,0,0,0,False,0
DODO/USDC,1741910400000,0.0681,0.072,0.0678,0.0713,5074.86509,1741996799999,72533,958,72533,5074.86509,False,0.069953
DEGEN/USDC,1741910400000,0.1,0.1,0.1,0.1,0,1741996799999,0,0,0,0,False,0
ZUZALU/ETH,1741910400000,0.00000241,0.00000241,0.00000241,0.00000241,0,1741996799999,0,0,0,0,False,0
ZUZALU/USDC,1741910400000,0.004025,0.004025,0.004025,0.004025,0,1741996799999,0,0,0,0,False,0
LINK/USDC,1741910400000,13.05,14.69,13.01,14.52,98579.856982,1741996799999,7065.6578,12737,7065.6578,98579.856982,False,13.043
LRC/USDC,1741910400000,0.1307,0.1307,0.1307,0.1307,0,1741996799999,0,0,0,0,False,0
LINK/USDT,1741910400000,203.1,203.1,203.1,203.1,0,1741996799999,0,0,0,0,False,0
POWR/USDC,1741910400000,0.2232,0.2232,0.2232,0.2232,0,1741996799999,0,0,0,0,False,0
LADYS/USDC,1741910400000,0.00000004721,0.00000004721,0.00000004721,0.00000004721,0,1741996799999,0,0,0,0,False,0
OMG/USDC,1741910400000,0.2649,0.2649,0.2649,0.2649,0,1741996799999,0,0,0,0,False,0
PENDLE/USDC,1741910400000,2.034,2.196,2.027,2.196,60244.628988,1741996799999,28735.106,11463,28735.106,60244.628988,False,2.0359
APT/USDC,1741910400000,5.154,5.331,5.12,5.293,97315.793756,1741996799999,18705.551,14426,18705.551,97315.793756,False,5.1552
SAND/USDC,1741910400000,0.2703,0.2703,0.2703,0.2703,0,1741996799999,0,0,0,0,False,0
AXS/USDC,1741910400000,4.305,4.305,4.305,4.305,0,1741996799999,0,0,0,0,False,0
FXS/USDC,1741910400000,1.777,1.777,1.777,1.777,0,1741996799999,0,0,0,0,False,0
W/USDC,1741910400000,0.1651,0.1651,0.1651,0.1651,0,1741996799999,0,0,0,0,False,0
AGIX/USDC,1741910400000,0.9077,0.9077,0.9077,0.9077,0,1741996799999,0,0,0,0,False,0
OMNI/USDC,1741910400000,5.14,5.14,5.14,5.14,0,1741996799999,0,0,0,0,False,0
LBS/USDT,1741910400000,10000000,10000000,10000000,10000000,0,1741996799999,0,0,0,0,False,0
STORJ/USDC,1741910400000,0.38,0.38,0.38,0.38,0,1741996799999,0,0,0,0,False,0
WIF/USDC,1741910400000,0.471,0.529,0.47,0.52,19439.07068,1741996799999,39071.8,3757,39071.8,19439.07068,False,0.50026
AEVO/USDC,1741910400000,0.1651,0.1651,0.1651,0.1651,0,1741996799999,0,0,0,0,False,0
ACH/USDC,1741910400000,0.03432,0.03432,0.03432,0.03432,0,1741996799999,0,0,0,0,False,0
DYDX/USDC,1741910400000,0.6131,0.6344,0.6076,0.6282,125468.614981,1741996799999,203062.269,26462,203062.269,125468.614981,False,0.61252
CQT/USDC,1741910400000,0.25,0.25,0.25,0.25,0,1741996799999,0,0,0,0,False,0
STMX/USDC,1741910400000,0.004283,0.004283,0.004283,0.004283,0,1741996799999,0,0,0,0,False,0
BICO/USDC,1741910400000,0.1818,0.1818,0.1818,0.1818,0,1741996799999,0,0,0,0,False,0
CRV/USDC,1741910400000,0.3943,0.4182,0.3923,0.4118,93453.583516,1741996799999,231317.79,18518,231317.79,93453.583516,False,0.39462
GNO/USDC,1741910400000,184.7,184.7,184.7,184.7,0,1741996799999,0,0,0,0,False,0
SUI/USDC,1741910400000,2.163,2.387,2.16,2.337,132448.220859,1741996799999,59296.485,12515,59296.485,132448.220859,False,2.168
DORKY/USDC,1741910400000,0.025,0.025,0.025,0.025,0,1741996799999,0,0,0,0,False,0
BAT/USDC,1741910400000,0.1759,0.1759,0.1759,0.1759,0,1741996799999,0,0,0,0,False,0
MANA/USDC,1741910400000,0.2648,0.2648,0.2648,0.2648,0,1741996799999,0,0,0,0,False,0
$MUSK/ETH,1741910400000,0.00000305,0.00000305,0.00000305,0.00000305,0,1741996799999,0,0,0,0,False,0
STRK/USDC,1741910400000,0.1703,0.1796,0.1692,0.1794,43739.280004,1741996799999,250698.13,6251,250698.13,43739.280004,False,0.16994
ETH/USDT,1741910400000,1865.4,1943.2,1862.3,1936.2,1065994.144156,1741996799999,559.629937,41378,559.629937,1065994.144156,False,1865.5
ETH/USDM,1741910400000,1865.4,1942.8,1863.7,1936.6,191313.487249,1741996799999,100.610359,13680,100.610359,191313.487249,False,1865.1
ETH/USDC,1741910400000,1865.4,1943.2,1862.3,1936.1,1789732.423323,1741996799999,941.022493,41199,941.022493,1789732.423323,False,1865.3
ETH/WBTC,1741910400000,0.02301,0.02317,0.02265,0.02288,0.09973469,1741996799999,4.346472,1425,4.346472,0.09973469,False,0.023052
PIXEL/USDC,1741910400000,0.0603,0.0603,0.0603,0.0603,0,1741996799999,0,0,0,0,False,0
1INCH/USDC,1741910400000,0.1949,0.2031,0.1944,0.2009,22940.44198,1741996799999,115561.62,4383,115561.62,22940.44198,False,0.19509
MASK/USDC,1741910400000,2.172,2.184,2.171,2.181,3303.32655,1741996799999,1517.312,573,1517.312,3303.32655,False,2.1732
GLM/USDC,1741910400000,0.3657,0.3657,0.3657,0.3657,0,1741996799999,0,0,0,0,False,0
JASMY/USDC,1741910400000,0.01291,0.01402,0.01284,0.01392,33530.69571,1741996799999,2496309.9,6410,2496309.9,33530.69571,False,0.012904
MORPHO/USDC,1741910400000,1.273,1.323,1.262,1.3,13629.130143,1741996799999,10554.251,2634,10554.251,13629.130143,False,1.2727
OGN/USDC,1741910400000,0.08,0.08,0.08,0.08,0,1741996799999,0,0,0,0,False,0
USDM/ETH,1741910400000,1865.4,1942.8,1863.7,1936.6,191313.487249,1741996799999,100.610359,13680,100.610359,191313.487249,False,1865.1
ONDO/USDC,1741910400000,0.8287,0.8952,0.8211,0.8831,149931.508503,1741996799999,175274.779,35294,175274.779,149931.508503,False,0.82929
USDM/USDC,1741910400000,0.9999,0.9999,0.9999,0.9999,49995,1741996799999,50000,4,50000,49995,False,0.9999
USDM/USDT,1741910400000,0.01078,0.01078,0.01078,0.01078,0,1741996799999,0,0,0,0,False,0
NSTR/USDC,1741910400000,0.102,0.102,0.102,0.102,0,1741996799999,0,0,0,0,False,0
COMP/USDC,1741910400000,40.13,41.71,39.96,41.71,31366.838315,1741996799999,772.6602,6686,772.6602,31366.838315,False,40.178
IMX/USDC,1741910400000,0.68,0.68,0.68,0.68,0,1741996799999,0,0,0,0,False,0
SHIB/USDC,1741910400000,0.00001203,0.00001285,0.000012,0.00001266,20853.81763,1741996799999,1670571900,3970,1670571900,20853.81763,False,0.000012034
L3/USDC,1741910400000,0.1007,0.1007,0.1007,0.1007,0,1741996799999,0,0,0,0,False,0
GMT/USDC,1741910400000,0.0675,0.0675,0.0675,0.0675,0,1741996799999,0,0,0,0,False,0
OCEAN/USDC,1741910400000,0.9123,0.9123,0.9123,0.9123,0,1741996799999,0,0,0,0,False,0
LQTY/USDC,1741910400000,0.899,0.899,0.899,0.899,0,1741996799999,0,0,0,0,False,0
Olda/USDT,1741910400000,0.012,0.012,0.012,0.012,0,1741996799999,0,0,0,0,False,0
PORTAL/USDC,1741910400000,0.1374,0.1374,0.1374,0.1374,0,1741996799999,0,0,0,0,False,0
MEME/USDC,1741910400000,0.00405,0.00405,0.00405,0.00405,0,1741996799999,0,0,0,0,False,0
ZK/USDC,1741910400000,2.077,2.077,2.077,2.077,0,1741996799999,0,0,0,0,False,0
T/USDC,1741910400000,0.02147,0.02147,0.02147,0.02147,0,1741996799999,0,0,0,0,False,0
PEPE/USDC,1741910400000,0.00000671,0.00000734,0.0000067,0.00000714,35020.82449,1741996799999,4984486000,6694,4984486000,35020.82449,False,0.0000069924
BRETT/USDC,1741910400000,0.0426,0.0426,0.0426,0.0426,0,1741996799999,0,0,0,0,False,0
ATH/USDC,1741910400000,0.03602,0.03602,0.03602,0.03602,0,1741996799999,0,0,0,0,False,0
ILV/USDC,1741910400000,20.37,20.37,20.37,20.37,0,1741996799999,0,0,0,0,False,0
Elon/USDT,1741910400000,34.12,34.12,34.12,34.12,0,1741996799999,0,0,0,0,False,0
POL/USDC,1741910400000,0.219,0.219,0.219,0.219,0,1741996799999,0,0,0,0,False,0
VEN/ETH,1741910400000,0.0000000005655,0.0000000005655,0.0000000005655,0.0000000005655,0,1741996799999,0,0,0,0,False,0
USDC/ETH,1741910400000,1865.4,1943.2,1862.3,1936.1,1789732.423323,1741996799999,941.022493,41199,941.022493,1789732.423323,False,1865.3
USDC/USDT,1741910400000,1,1,1,1,0,1741996799999,0,0,0,0,False,0
LDO/USDC,1741910400000,0.902,0.96,0.9,0.957,40218.162974,1741996799999,43169.992,4392,43169.992,40218.162974,False,0.93217
LDO/ETH,1741910400000,1,1,1,1,0,1741996799999,0,0,0,0,False,0
ZRO/USDC,1741910400000,1.618,1.618,1.618,1.618,0,1741996799999,0,0,0,0,False,0
ARPA/USDC,1741910400000,0.03583,0.03583,0.03583,0.03583,0,1741996799999,0,0,0,0,False,0
USUAL/USDC,1741910400000,0.1671,0.178,0.1667,0.1771,71607.55888,1741996799999,416770.778,8974,416770.778,71607.55888,False,0.1674
ZEUS/ETH,1741910400000,0.00034,0.00034,0.00034,0.00034,0,1741996799999,0,0,0,0,False,0
ENJ/USDC,1741910400000,0.3661,0.3661,0.3661,0.3661,0,1741996799999,0,0,0,0,False,0
GAL/USDC,1741910400000,4.054,4.054,4.054,4.054,0,1741996799999,0,0,0,0,False,0
MKR/USDC,1741910400000,1136,1196,1131,1196,12477.244397,1741996799999,10.775042,2390,10.775042,12477.244397,False,1138.1
ARB/USDC,1741910400000,0.344,0.3647,0.3427,0.3639,103113.289678,1741996799999,292280.33,17435,292280.33,103113.289678,False,0.34357
BEAM/USDC,1741910400000,0.0091,0.0091,0.0091,0.0091,0,1741996799999,0,0,0,0,False,0
WKLAY/USDC,1741910400000,0.1306,0.1306,0.1306,0.1306,0,1741996799999,0,0,0,0,False,0
BIO/USDC,1741910400000,0.1166,0.1166,0.1166,0.1166,0,1741996799999,0,0,0,0,False,0
CELR/USDC,1741910400000,0.01266,0.01266,0.01266,0.01266,0,1741996799999,0,0,0,0,False,0
SEI/USDC,1741910400000,0.1939,0.1939,0.1939,0.1939,0,1741996799999,0,0,0,0,False,0
G/USDC,1741910400000,0.01888,0.01888,0.01888,0.01888,0,1741996799999,0,0,0,0,False,0
ZRC/USDC,1741910400000,0.06332,0.06332,0.06332,0.06332,0,1741996799999,0,0,0,0,False,0
MAGA/USDT,1741910400000,134.1,134.1,134.1,134.1,0,1741996799999,0,0,0,0,False,0
LYV/USDC,1741910400000,0.1,0.1,0.1,0.1,0,1741996799999,0,0,0,0,False,0
CELO/USDC,1741910400000,0.4339,0.4339,0.4339,0.4339,0,1741996799999,0,0,0,0,False,0
UNI/ETH,1741910400000,0.0532,0.0532,0.0532,0.0532,0,1741996799999,0,0,0,0,False,0
UNI/USDC,1741910400000,5.894,6.111,5.838,6.106,357478.320491,1741996799999,60259.222,35754,60259.222,357478.320491,False,5.889
WAVAX/USDC,1741910400000,24.11,24.11,24.11,24.11,0,1741996799999,0,0,0,0,False,0
ARKM/USDC,1741910400000,0.64,0.64,0.64,0.64,0,1741996799999,0,0,0,0,False,0
ENS/ETH,1741910400000,0.1,0.1,0.1,0.1,0,1741996799999,0,0,0,0,False,0
ENS/USDC,1741910400000,16.42,17.15,16.32,17.05,35538.28112,1741996799999,2127.5463,6780,2127.5463,35538.28112,False,16.41
