pair,date,open,high,low,close,volume,close_time,quote_volume,trades
CHZ/USDC,2025-03-16,0.053,0.053,0.053,0.053,0.0,2025-03-16 23:59:59.999,0.0,0
RSS3/USDC,2025-03-16,0.03251,0.03251,0.03251,0.03251,0.0,2025-03-16 23:59:59.999,0.0,0
YFI/USDC,2025-03-16,5906.0,5906.0,5906.0,5906.0,0.0,2025-03-16 23:59:59.999,0.0,0
SSV/USDC,2025-03-16,6.99,6.99,6.99,6.99,0.0,2025-03-16 23:59:59.999,0.0,0
FTM/USDC,2025-03-16,0.7001,0.7001,0.7001,0.7001,0.0,2025-03-16 23:59:59.999,0.0,0
BAL/USDC,2025-03-16,1.977,1.977,1.977,1.977,0.0,2025-03-16 23:59:59.999,0.0,0
MMS/ETH,2025-03-16,0.01223,0.01223,0.01223,0.01223,0.0,2025-03-16 23:59:59.999,0.0,0
DODO/USDC,2025-03-16,0.0735,0.0735,0.0695,0.07,3522.63439,2025-03-16 23:59:59.999,49159.5,659
DEGEN/USDC,2025-03-16,0.1,0.1,0.1,0.1,0.0,2025-03-16 23:59:59.999,0.0,0
ZUZALU/ETH,2025-03-16,2.41e-06,2.41e-06,2.41e-06,2.41e-06,0.0,2025-03-16 23:59:59.999,0.0,0
LINK/USDT,2025-03-16,203.1,203.1,203.1,203.1,0.0,2025-03-16 23:59:59.999,0.0,0
ZUZALU/USDC,2025-03-16,0.004025,0.004025,0.004025,0.004025,0.0,2025-03-16 23:59:59.999,0.0,0
LADYS/USDC,2025-03-16,4.721e-08,4.721e-08,4.721e-08,4.721e-08,0.0,2025-03-16 23:59:59.999,0.0,0
LINK/USDC,2025-03-16,14.02,14.19,13.5,13.57,21752.66815,2025-03-16 23:59:59.999,1564.0891,2920
LRC/USDC,2025-03-16,0.1307,0.1307,0.1307,0.1307,0.0,2025-03-16 23:59:59.999,0.0,0
POWR/USDC,2025-03-16,0.2232,0.2232,0.2232,0.2232,0.0,2025-03-16 23:59:59.999,0.0,0
