pair,0,1,2,3,4,5,6,7,8,9,10,11,12
YFI/USDC,1744502400000,5906,5906,5906,5906,0,1744588799999,0,0,0,0,True,0
YFI/USDC,1744588800000,5906,5906,5906,5906,0,1744675199999,0,0,0,0,True,0
YFI/USDC,1744675200000,5906,5906,5906,5906,0,1744761599999,0,0,0,0,True,0
YFI/USDC,1744761600000,5906,5906,5906,5906,0,1744847999999,0,0,0,0,False,0
CHZ/USDC,1744502400000,0.053,0.053,0.053,0.053,0,1744588799999,0,0,0,0,True,0
CHZ/USDC,1744588800000,0.053,0.053,0.053,0.053,0,1744675199999,0,0,0,0,True,0
CHZ/USDC,1744675200000,0.053,0.053,0.053,0.053,0,1744761599999,0,0,0,0,True,0
CHZ/USDC,1744761600000,0.053,0.053,0.053,0.053,0,1744847999999,0,0,0,0,False,0
RSS3/USDC,1744502400000,0.03251,0.03251,0.03251,0.03251,0,1744588799999,0,0,0,0,True,0
RSS3/USDC,1744588800000,0.03251,0.03251,0.03251,0.03251,0,1744675199999,0,0,0,0,True,0
RSS3/USDC,1744675200000,0.03251,0.03251,0.03251,0.03251,0,1744761599999,0,0,0,0,True,0
RSS3/USDC,1744761600000,0.03251,0.03251,0.03251,0.03251,0,1744847999999,0,0,0,0,False,0
FTM/USDC,1744502400000,0.7001,0.7001,0.7001,0.7001,0,1744588799999,0,0,0,0,True,0
FTM/USDC,1744588800000,0.7001,0.7001,0.7001,0.7001,0,1744675199999,0,0,0,0,True,0
FTM/USDC,1744675200000,0.7001,0.7001,0.7001,0.7001,0,1744761599999,0,0,0,0,True,0
FTM/USDC,1744761600000,0.7001,0.7001,0.7001,0.7001,0,1744847999999,0,0,0,0,False,0
MMS/ETH,1744502400000,0.01223,0.01223,0.01223,0.01223,0,1744588799999,0,0,0,0,True,0
MMS/ETH,1744588800000,0.01223,0.01223,0.01223,0.01223,0,1744675199999,0,0,0,0,True,0
MMS/ETH,1744675200000,0.01223,0.01223,0.01223,0.01223,0,1744761599999,0,0,0,0,True,0
MMS/ETH,1744761600000,0.01223,0.01223,0.01223,0.01223,0,1744847999999,0,0,0,0,False,0
BAL/USDC,1744502400000,1.977,1.977,1.977,1.977,0,1744588799999,0,0,0,0,True,0
BAL/USDC,1744588800000,1.977,1.977,1.977,1.977,0,1744675199999,0,0,0,0,True,0
BAL/USDC,1744675200000,1.977,1.977,1.977,1.977,0,1744761599999,0,0,0,0,True,0
BAL/USDC,1744761600000,1.977,1.977,1.977,1.977,0,1744847999999,0,0,0,0,False,0
SSV/USDC,1744502400000,3.99,3.99,3.99,3.99,0,1744588799999,0,0,0,0,True,0
SSV/USDC,1744588800000,3.99,3.99,3.99,3.99,0,1744675199999,0,0,0,0,True,0
SSV/USDC,1744675200000,3.99,3.99,3.99,3.99,0,1744761599999,0,0,0,0,True,0
SSV/USDC,1744761600000,3.99,3.99,3.99,3.99,0,1744847999999,0,0,0,0,False,0
LRC/USDC,1744502400000,0.1307,0.1307,0.1307,0.1307,0,1744588799999,0,0,0,0,True,0
LRC/USDC,1744588800000,0.1307,0.1307,0.1307,0.1307,0,1744675199999,0,0,0,0,True,0
LRC/USDC,1744675200000,0.1307,0.1307,0.1307,0.1307,0,1744761599999,0,0,0,0,True,0
LRC/USDC,1744761600000,0.1307,0.1307,0.1307,0.1307,0,1744847999999,0,0,0,0,False,0
DEGEN/USDC,1744502400000,0.1,0.1,0.1,0.1,0,1744588799999,0,0,0,0,True,0
DEGEN/USDC,1744588800000,0.1,0.1,0.1,0.1,0,1744675199999,0,0,0,0,True,0
DEGEN/USDC,1744675200000,0.1,0.1,0.1,0.1,0,1744761599999,0,0,0,0,True,0
DEGEN/USDC,1744761600000,0.1,0.1,0.1,0.1,0,1744847999999,0,0,0,0,False,0
ZUZALU/ETH,1744502400000,0.00000241,0.00000241,0.00000241,0.00000241,0,1744588799999,0,0,0,0,True,0
ZUZALU/ETH,1744588800000,0.00000241,0.00000241,0.00000241,0.00000241,0,1744675199999,0,0,0,0,True,0
ZUZALU/ETH,1744675200000,0.00000241,0.00000241,0.00000241,0.00000241,0,1744761599999,0,0,0,0,True,0
ZUZALU/ETH,1744761600000,0.00000241,0.00000241,0.00000241,0.00000241,0,1744847999999,0,0,0,0,False,0
DODO/USDC,1744502400000,0.0512,0.0514,0.0456,0.0474,5271.37786,1744588799999,107784.6,963,107784.6,5271.37786,True,0.048901
DODO/USDC,1744588800000,0.0474,0.0486,0.0444,0.0444,5553.56614,1744675199999,118080.8,1031,118080.8,5553.56614,True,0.047038
DODO/USDC,1744675200000,0.0444,0.0456,0.0418,0.042,4936.8889,1744761599999,111996.1,921,111996.1,4936.8889,True,0.044142
DODO/USDC,1744761600000,0.042,0.043,0.0413,0.0417,1909.63441,1744847999999,45322.8,341,45322.8,1909.63441,False,0.042128
ZUZALU/USDC,1744502400000,0.004025,0.004025,0.004025,0.004025,0,1744588799999,0,0,0,0,True,0
ZUZALU/USDC,1744588800000,0.004025,0.004025,0.004025,0.004025,0,1744675199999,0,0,0,0,True,0
ZUZALU/USDC,1744675200000,0.004025,0.004025,0.004025,0.004025,0,1744761599999,0,0,0,0,True,0
ZUZALU/USDC,1744761600000,0.004025,0.004025,0.004025,0.004025,0,1744847999999,0,0,0,0,False,0
POWR/USDC,1744502400000,0.2232,0.2232,0.2232,0.2232,0,1744588799999,0,0,0,0,True,0
POWR/USDC,1744588800000,0.2232,0.2232,0.2232,0.2232,0,1744675199999,0,0,0,0,True,0
POWR/USDC,1744675200000,0.2232,0.2232,0.2232,0.2232,0,1744761599999,0,0,0,0,True,0
POWR/USDC,1744761600000,0.2232,0.2232,0.2232,0.2232,0,1744847999999,0,0,0,0,False,0
LINK/USDC,1744502400000,13.16,13.24,12.44,12.63,60710.73645,1744588799999,4728.8809,8225,4728.8809,60710.73645,True,13.157
LINK/USDC,1744588800000,12.63,13.25,12.59,12.64,84269.86943,1744675199999,6541.2187,12173,6541.2187,84269.86943,True,12.758
LINK/USDC,1744675200000,12.64,12.84,12.23,12.25,65868.84122,1744761599999,5244.3578,8995,5244.3578,65868.84122,True,12.634
LINK/USDC,1744761600000,12.25,12.44,12.06,12.17,19307.25492,1744847999999,1573.9064,2772,1573.9064,19307.25492,False,12.236
LINK/USDT,1744502400000,203.1,203.1,203.1,203.1,0,1744588799999,0,0,0,0,True,0
LINK/USDT,1744588800000,203.1,203.1,203.1,203.1,0,1744675199999,0,0,0,0,True,0
LINK/USDT,1744675200000,203.1,203.1,203.1,203.1,0,1744761599999,0,0,0,0,True,0
LINK/USDT,1744761600000,203.1,203.1,203.1,203.1,0,1744847999999,0,0,0,0,False,0
LADYS/USDC,1744502400000,0.00000004721,0.00000004721,0.00000004721,0.00000004721,0,1744588799999,0,0,0,0,True,0
LADYS/USDC,1744588800000,0.00000004721,0.00000004721,0.00000004721,0.00000004721,0,1744675199999,0,0,0,0,True,0
LADYS/USDC,1744675200000,0.00000004721,0.00000004721,0.00000004721,0.00000004721,0,1744761599999,0,0,0,0,True,0
LADYS/USDC,1744761600000,0.00000004721,0.00000004721,0.00000004721,0.00000004721,0,1744847999999,0,0,0,0,False,0
OMG/USDC,1744502400000,0.2649,0.2649,0.2649,0.2649,0,1744588799999,0,0,0,0,True,0
OMG/USDC,1744588800000,0.2649,0.2649,0.2649,0.2649,0,1744675199999,0,0,0,0,True,0
OMG/USDC,1744675200000,0.2649,0.2649,0.2649,0.2649,0,1744761599999,0,0,0,0,True,0
OMG/USDC,1744761600000,0.2649,0.2649,0.2649,0.2649,0,1744847999999,0,0,0,0,False,0
AXS/USDC,1744502400000,4.305,4.305,4.305,4.305,0,1744588799999,0,0,0,0,True,0
AXS/USDC,1744588800000,4.305,4.305,4.305,4.305,0,1744675199999,0,0,0,0,True,0
AXS/USDC,1744675200000,4.305,4.305,4.305,4.305,0,1744761599999,0,0,0,0,True,0
AXS/USDC,1744761600000,4.305,4.305,4.305,4.305,0,1744847999999,0,0,0,0,False,0
PENDLE/USDC,1744502400000,3.459,3.537,3.176,3.222,261647.194423,1744588799999,78073.303,37012,78073.303,261647.194423,True,3.4409
PENDLE/USDC,1744588800000,3.222,3.341,3.093,3.109,235505.482357,1744675199999,73416.845,37518,73416.845,235505.482357,True,3.2563
PENDLE/USDC,1744675200000,3.109,3.244,3.015,3.048,170851.693375,1744761599999,54460.896,26839,54460.896,170851.693375,True,3.0956
PENDLE/USDC,1744761600000,3.048,3.189,3.025,3.127,84761.247245,1744847999999,27225.486,13137,27225.486,84761.247245,False,3.0596
APT/USDC,1744502400000,4.967,5.205,4.755,4.828,110355.854938,1744588799999,22273.392,16481,22273.392,110355.854938,True,4.9858
APT/USDC,1744588800000,4.828,5.002,4.776,4.813,130428.053103,1744675199999,26674.277,19223,26674.277,130428.053103,True,4.8778
APT/USDC,1744675200000,4.813,4.832,4.616,4.626,116808.389007,1744761599999,24759.07,16997,24759.07,116808.389007,True,4.8077
APT/USDC,1744761600000,4.626,4.736,4.565,4.591,47685.003349,1744847999999,10239.298,7013,10239.298,47685.003349,False,4.6199
SAND/USDC,1744502400000,0.2194,0.2194,0.2194,0.2194,0,1744588799999,0,0,0,0,True,0
SAND/USDC,1744588800000,0.2194,0.2194,0.2194,0.2194,0,1744675199999,0,0,0,0,True,0
SAND/USDC,1744675200000,0.2194,0.2194,0.2194,0.2194,0,1744761599999,0,0,0,0,True,0
SAND/USDC,1744761600000,0.2194,0.2194,0.2194,0.2194,0,1744847999999,0,0,0,0,False,0
