pair,date,open,high,low,close,volume,close_time,quote_volume,trades
BAL/USDC,2025-04-11,1.977,1.977,1.977,1.977,0.0,2025-04-11 23:59:59.999,0.0,0
RSS3/USDC,2025-04-11,0.03251,0.03251,0.03251,0.03251,0.0,2025-04-11 23:59:59.999,0.0,0
FTM/USDC,2025-04-11,0.7001,0.7001,0.7001,0.7001,0.0,2025-04-11 23:59:59.999,0.0,0
YFI/USDC,2025-04-11,5906.0,5906.0,5906.0,5906.0,0.0,2025-04-11 23:59:59.999,0.0,0
MMS/ETH,2025-04-11,0.01223,0.01223,0.01223,0.01223,0.0,2025-04-11 23:59:59.999,0.0,0
CHZ/USDC,2025-04-11,0.053,0.053,0.053,0.053,0.0,2025-04-11 23:59:59.999,0.0,0
SSV/USDC,2025-04-11,3.99,3.99,3.99,3.99,0.0,2025-04-11 23:59:59.999,0.0,0
DODO/USDC,2025-04-11,0.048,0.0494,0.0479,0.0494,2964.3956,2025-04-11 23:59:59.999,60693.9,557
DEGEN/USDC,2025-04-11,0.1,0.1,0.1,0.1,0.0,2025-04-11 23:59:59.999,0.0,0
ZUZALU/ETH,2025-04-11,2.41e-06,2.41e-06,2.41e-06,2.41e-06,0.0,2025-04-11 23:59:59.999,0.0,0
LINK/USDT,2025-04-11,203.1,203.1,203.1,203.1,0.0,2025-04-11 23:59:59.999,0.0,0
LRC/USDC,2025-04-11,0.1307,0.1307,0.1307,0.1307,0.0,2025-04-11 23:59:59.999,0.0,0
LADYS/USDC,2025-04-11,4.721e-08,4.721e-08,4.721e-08,4.721e-08,0.0,2025-04-11 23:59:59.999,0.0,0
ZUZALU/USDC,2025-04-11,0.004025,0.004025,0.004025,0.004025,0.0,2025-04-11 23:59:59.999,0.0,0
LINK/USDC,2025-04-11,12.09,12.71,12.04,12.58,46017.60697,2025-04-11 23:59:59.999,3699.2583,6314
POWR/USDC,2025-04-11,0.2232,0.2232,0.2232,0.2232,0.0,2025-04-11 23:59:59.999,0.0,0
PENDLE/USDC,2025-04-11,3.178,3.476,3.165,3.238,241781.630382,2025-04-11 23:59:59.999,72866.825,35390
OMG/USDC,2025-04-11,0.2649,0.2649,0.2649,0.2649,0.0,2025-04-11 23:59:59.999,0.0,0
AXS/USDC,2025-04-11,4.305,4.305,4.305,4.305,0.0,2025-04-11 23:59:59.999,0.0,0
APT/USDC,2025-04-11,4.617,4.827,4.616,4.827,62052.700858,2025-04-11 23:59:59.999,13112.113,9118
W/USDC,2025-04-11,0.1651,0.1651,0.1651,0.1651,0.0,2025-04-11 23:59:59.999,0.0,0
SAND/USDC,2025-04-11,0.2194,0.2194,0.2194,0.2194,0.0,2025-04-11 23:59:59.999,0.0,0
FXS/USDC,2025-04-11,1.777,1.777,1.777,1.777,0.0,2025-04-11 23:59:59.999,0.0,0
ACH/USDC,2025-04-11,0.03432,0.03432,0.03432,0.03432,0.0,2025-04-11 23:59:59.999,0.0,0
DYDX/USDC,2025-04-11,0.5498,0.5626,0.5471,0.56,96485.231579,2025-04-11 23:59:59.999,173732.562,20251
OMNI/USDC,2025-04-11,5.14,5.14,5.14,5.14,0.0,2025-04-11 23:59:59.999,0.0,0
STORJ/USDC,2025-04-11,0.38,0.38,0.38,0.38,0.0,2025-04-11 23:59:59.999,0.0,0
AEVO/USDC,2025-04-11,0.1651,0.1651,0.1651,0.1651,0.0,2025-04-11 23:59:59.999,0.0,0
AGIX/USDC,2025-04-11,0.9077,0.9077,0.9077,0.9077,0.0,2025-04-11 23:59:59.999,0.0,0
LBS/USDT,2025-04-11,10000000.0,10000000.0,10000000.0,10000000.0,0.0,2025-04-11 23:59:59.999,0.0,0
WIF/USDC,2025-04-11,0.367,0.393,0.366,0.393,8170.97099,2025-04-11 23:59:59.999,21403.03,1567
CQT/USDC,2025-04-11,0.25,0.25,0.25,0.25,0.0,2025-04-11 23:59:59.999,0.0,0
BICO/USDC,2025-04-11,0.1818,0.1818,0.1818,0.1818,0.0,2025-04-11 23:59:59.999,0.0,0
GNO/USDC,2025-04-11,184.7,184.7,184.7,184.7,0.0,2025-04-11 23:59:59.999,0.0,0
SUI/USDC,2025-04-11,2.112,2.229,2.097,2.197,125247.76039,2025-04-11 23:59:59.999,57687.491,11425
CRV/USDC,2025-04-11,0.5597,0.6342,0.555,0.6171,351534.359636,2025-04-11 23:59:59.999,584158.6,81171
DORKY/USDC,2025-04-11,0.02513,0.02513,0.02513,0.02513,0.0,2025-04-11 23:59:59.999,0.0,0
STMX/USDC,2025-04-11,0.004283,0.004283,0.004283,0.004283,0.0,2025-04-11 23:59:59.999,0.0,0
BAT/USDC,2025-04-11,0.1759,0.1759,0.1759,0.1759,0.0,2025-04-11 23:59:59.999,0.0,0
MANA/USDC,2025-04-11,0.1916,0.1916,0.1916,0.1916,0.0,2025-04-11 23:59:59.999,0.0,0
$MUSK/ETH,2025-04-11,3.05e-06,3.05e-06,3.05e-06,3.05e-06,0.0,2025-04-11 23:59:59.999,0.0,0
STRK/USDC,2025-04-11,0.1287,0.1335,0.127,0.1335,27805.23987,2025-04-11 23:59:59.999,212957.9,3966
ETH/USDC,2025-04-11,1523.2,1585.5,1505.9,1568.6,2640597.324893,2025-04-11 23:59:59.999,1701.296018,50602
ETH/USDM,2025-04-11,1523.2,1585.4,1508.3,1568.7,245652.979934,2025-04-11 23:59:59.999,158.381775,14818
ETH/USDT,2025-04-11,1523.2,1585.7,1506.1,1568.6,1429237.020223,2025-04-11 23:59:59.999,920.959625,49531
PIXEL/USDC,2025-04-11,0.0603,0.0603,0.0603,0.0603,0.0,2025-04-11 23:59:59.999,0.0,0
ETH/WBTC,2025-04-11,0.01913,0.01937,0.0189,0.019,0.09145448,2025-04-11 23:59:59.999,4.793869,1238
1INCH/USDC,2025-04-11,0.1664,0.1719,0.1655,0.1712,16641.745436,2025-04-11 23:59:59.999,98368.66,3181
GLM/USDC,2025-04-11,0.3657,0.3657,0.3657,0.3657,0.0,2025-04-11 23:59:59.999,0.0,0
JASMY/USDC,2025-04-11,0.01136,0.01352,0.01121,0.01271,71656.918565,2025-04-11 23:59:59.999,5756098.4,13773
MASK/USDC,2025-04-11,1.067,1.081,1.038,1.058,14302.269768,2025-04-11 23:59:59.999,13535.523,2750
OGN/USDC,2025-04-11,0.08,0.08,0.08,0.08,0.0,2025-04-11 23:59:59.999,0.0,0
