pair,date,open,high,low,close,volume,close_time,quote_volume,trades
CHZ/USDC,2025-03-06,0.053,0.053,0.053,0.053,0.0,2025-03-06 23:59:59.999,0.0,0
CHZ/USDC,2025-03-07,0.053,0.053,0.053,0.053,0.0,2025-03-07 23:59:59.999,0.0,0
MMS/ETH,2025-03-06,0.01223,0.01223,0.01223,0.01223,0.0,2025-03-06 23:59:59.999,0.0,0
MMS/ETH,2025-03-07,0.01223,0.01223,0.01223,0.01223,0.0,2025-03-07 23:59:59.999,0.0,0
RSS3/USDC,2025-03-06,0.05151,0.05151,0.05121,0.05121,35993.22349,2025-03-06 23:59:59.999,700809.0,4
RSS3/USDC,2025-03-07,0.05121,0.05121,0.05114,0.05114,23048.8265,2025-03-07 23:59:59.999,450523.0,3
FTM/USDC,2025-03-06,0.7001,0.7001,0.7001,0.7001,0.0,2025-03-06 23:59:59.999,0.0,0
FTM/USDC,2025-03-07,0.7001,0.7001,0.7001,0.7001,0.0,2025-03-07 23:59:59.999,0.0,0
YFI/USDC,2025-03-06,5906.0,5906.0,5906.0,5906.0,0.0,2025-03-06 23:59:59.999,0.0,0
YFI/USDC,2025-03-07,5906.0,5906.0,5906.0,5906.0,0.0,2025-03-07 23:59:59.999,0.0,0
SSV/USDC,2025-03-06,9.89,9.89,9.89,9.89,0.0,2025-03-06 23:59:59.999,0.0,0
SSV/USDC,2025-03-07,9.89,9.89,9.89,9.89,0.0,2025-03-07 23:59:59.999,0.0,0
BAL/USDC,2025-03-06,1.977,1.977,1.977,1.977,0.0,2025-03-06 23:59:59.999,0.0,0
BAL/USDC,2025-03-07,1.977,1.977,1.977,1.977,0.0,2025-03-07 23:59:59.999,0.0,0
DODO/USDC,2025-03-06,0.0795,0.0818,0.0763,0.0774,10112.56685,2025-03-06 23:59:59.999,128230.7,1932
DODO/USDC,2025-03-07,0.0774,0.0784,0.0734,0.0775,6148.20735,2025-03-07 23:59:59.999,80330.5,1174
ZUZALU/ETH,2025-03-06,2.41e-06,2.41e-06,2.41e-06,2.41e-06,0.0,2025-03-06 23:59:59.999,0.0,0
ZUZALU/ETH,2025-03-07,2.41e-06,2.41e-06,2.41e-06,2.41e-06,0.0,2025-03-07 23:59:59.999,0.0,0
DEGEN/USDC,2025-03-06,0.1,0.1,0.1,0.1,0.0,2025-03-06 23:59:59.999,0.0,0
DEGEN/USDC,2025-03-07,0.1,0.1,0.1,0.1,0.0,2025-03-07 23:59:59.999,0.0,0
LRC/USDC,2025-03-06,0.1307,0.1307,0.1307,0.1307,0.0,2025-03-06 23:59:59.999,0.0,0
LRC/USDC,2025-03-07,0.1307,0.1307,0.1307,0.1307,0.0,2025-03-07 23:59:59.999,0.0,0
POWR/USDC,2025-03-06,0.2232,0.2232,0.2232,0.2232,0.0,2025-03-06 23:59:59.999,0.0,0
