pair,0,1,2,3,4,5,6,7,8,9,10,11,12
BAL/USDC,1744329600000,1.977,1.977,1.977,1.977,0,1744415999999,0,0,0,0,False,0
RSS3/USDC,1744329600000,0.03251,0.03251,0.03251,0.03251,0,1744415999999,0,0,0,0,False,0
FTM/USDC,1744329600000,0.7001,0.7001,0.7001,0.7001,0,1744415999999,0,0,0,0,False,0
YFI/USDC,1744329600000,5906,5906,5906,5906,0,1744415999999,0,0,0,0,False,0
MMS/ETH,1744329600000,0.01223,0.01223,0.01223,0.01223,0,1744415999999,0,0,0,0,False,0
CHZ/USDC,1744329600000,0.053,0.053,0.053,0.053,0,1744415999999,0,0,0,0,False,0
SSV/USDC,1744329600000,3.99,3.99,3.99,3.99,0,1744415999999,0,0,0,0,False,0
DODO/USDC,1744329600000,0.048,0.0494,0.0479,0.0494,2964.3956,1744415999999,60693.9,557,60693.9,2964.3956,False,0.04883
DEGEN/USDC,1744329600000,0.1,0.1,0.1,0.1,0,1744415999999,0,0,0,0,False,0
ZUZALU/ETH,1744329600000,0.00000241,0.00000241,0.00000241,0.00000241,0,1744415999999,0,0,0,0,False,0
LINK/USDT,1744329600000,203.1,203.1,203.1,203.1,0,1744415999999,0,0,0,0,False,0
LRC/USDC,1744329600000,0.1307,0.1307,0.1307,0.1307,0,1744415999999,0,0,0,0,False,0
LADYS/USDC,1744329600000,0.00000004721,0.00000004721,0.00000004721,0.00000004721,0,1744415999999,0,0,0,0,False,0
ZUZALU/USDC,1744329600000,0.004025,0.004025,0.004025,0.004025,0,1744415999999,0,0,0,0,False,0
LINK/USDC,1744329600000,12.09,12.71,12.04,12.58,46017.60697,1744415999999,3699.2583,6314,3699.2583,46017.60697,False,12.09
POWR/USDC,1744329600000,0.2232,0.2232,0.2232,0.2232,0,1744415999999,0,0,0,0,False,0
PENDLE/USDC,1744329600000,3.178,3.476,3.165,3.238,241781.630382,1744415999999,72866.825,35390,72866.825,241781.630382,False,3.1809
OMG/USDC,1744329600000,0.2649,0.2649,0.2649,0.2649,0,1744415999999,0,0,0,0,False,0
AXS/USDC,1744329600000,4.305,4.305,4.305,4.305,0,1744415999999,0,0,0,0,False,0
APT/USDC,1744329600000,4.617,4.827,4.616,4.827,62052.700858,1744415999999,13112.113,9118,13112.113,62052.700858,False,4.6556
W/USDC,1744329600000,0.1651,0.1651,0.1651,0.1651,0,1744415999999,0,0,0,0,False,0
SAND/USDC,1744329600000,0.2194,0.2194,0.2194,0.2194,0,1744415999999,0,0,0,0,False,0
FXS/USDC,1744329600000,1.777,1.777,1.777,1.777,0,1744415999999,0,0,0,0,False,0
ACH/USDC,1744329600000,0.03432,0.03432,0.03432,0.03432,0,1744415999999,0,0,0,0,False,0
DYDX/USDC,1744329600000,0.5498,0.5626,0.5471,0.56,96485.231579,1744415999999,173732.562,20251,173732.562,96485.231579,False,0.55108
OMNI/USDC,1744329600000,5.14,5.14,5.14,5.14,0,1744415999999,0,0,0,0,False,0
STORJ/USDC,1744329600000,0.38,0.38,0.38,0.38,0,1744415999999,0,0,0,0,False,0
AEVO/USDC,1744329600000,0.1651,0.1651,0.1651,0.1651,0,1744415999999,0,0,0,0,False,0
AGIX/USDC,1744329600000,0.9077,0.9077,0.9077,0.9077,0,1744415999999,0,0,0,0,False,0
LBS/USDT,1744329600000,10000000,10000000,10000000,10000000,0,1744415999999,0,0,0,0,False,0
WIF/USDC,1744329600000,0.367,0.393,0.366,0.393,8170.97099,1744415999999,21403.03,1567,21403.03,8170.97099,False,0.38183
CQT/USDC,1744329600000,0.25,0.25,0.25,0.25,0,1744415999999,0,0,0,0,False,0
BICO/USDC,1744329600000,0.1818,0.1818,0.1818,0.1818,0,1744415999999,0,0,0,0,False,0
GNO/USDC,1744329600000,184.7,184.7,184.7,184.7,0,1744415999999,0,0,0,0,False,0
SUI/USDC,1744329600000,2.112,2.229,2.097,2.197,125247.76039,1744415999999,57687.491,11425,57687.491,125247.76039,False,2.1124
CRV/USDC,1744329600000,0.5597,0.6342,0.555,0.6171,351534.359636,1744415999999,584158.6,81171,584158.6,351534.359636,False,0.55922
DORKY/USDC,1744329600000,0.02513,0.02513,0.02513,0.02513,0,1744415999999,0,0,0,0,False,0
STMX/USDC,1744329600000,0.004283,0.004283,0.004283,0.004283,0,1744415999999,0,0,0,0,False,0
BAT/USDC,1744329600000,0.1759,0.1759,0.1759,0.1759,0,1744415999999,0,0,0,0,False,0
MANA/USDC,1744329600000,0.1916,0.1916,0.1916,0.1916,0,1744415999999,0,0,0,0,False,0
$MUSK/ETH,1744329600000,0.00000305,0.00000305,0.00000305,0.00000305,0,1744415999999,0,0,0,0,False,0
STRK/USDC,1744329600000,0.1287,0.1335,0.127,0.1335,27805.23987,1744415999999,212957.9,3966,212957.9,27805.23987,False,0.12844
ETH/USDC,1744329600000,1523.2,1585.5,1505.9,1568.6,2640597.324893,1744415999999,1701.296018,50602,1701.296018,2640597.324893,False,1523.1
ETH/USDM,1744329600000,1523.2,1585.4,1508.3,1568.7,245652.979934,1744415999999,158.381775,14818,158.381775,245652.979934,False,1522.6
ETH/USDT,1744329600000,1523.2,1585.7,1506.1,1568.6,1429237.020223,1744415999999,920.959625,49531,920.959625,1429237.020223,False,1523.1
PIXEL/USDC,1744329600000,0.0603,0.0603,0.0603,0.0603,0,1744415999999,0,0,0,0,False,0
ETH/WBTC,1744329600000,0.01913,0.01937,0.0189,0.019,0.09145448,1744415999999,4.793869,1238,4.793869,0.09145448,False,0.019191
1INCH/USDC,1744329600000,0.1664,0.1719,0.1655,0.1712,16641.745436,1744415999999,98368.66,3181,98368.66,16641.745436,False,0.16696
GLM/USDC,1744329600000,0.3657,0.3657,0.3657,0.3657,0,1744415999999,0,0,0,0,False,0
JASMY/USDC,1744329600000,0.01136,0.01352,0.01121,0.01271,71656.918565,1744415999999,5756098.4,13773,5756098.4,71656.918565,False,0.011354
MASK/USDC,1744329600000,1.067,1.081,1.038,1.058,14302.269768,1744415999999,13535.523,2750,13535.523,14302.269768,False,1.0606
OGN/USDC,1744329600000,0.08,0.08,0.08,0.08,0,1744415999999,0,0,0,0,False,0
ONDO/USDC,1744329600000,0.8134,0.9215,0.8093,0.8975,174740.659487,1744415999999,203130.666,45738,203130.666,174740.659487,False,0.81812
USDM/USDC,1744329600000,0.9999,0.9999,0.9999,0.9999,49995,1744415999999,50000,4,50000,49995,False,0.9999
