pair,date,open,high,low,close,volume,close_time,quote_volume,trades
RSS3/USDC,2025-03-12,0.03251,0.03251,0.03251,0.03251,0.0,2025-03-12 23:59:59.999,0.0,0
CHZ/USDC,2025-03-12,0.053,0.053,0.053,0.053,0.0,2025-03-12 23:59:59.999,0.0,0
YFI/USDC,2025-03-12,5906.0,5906.0,5906.0,5906.0,0.0,2025-03-12 23:59:59.999,0.0,0
BAL/USDC,2025-03-12,1.977,1.977,1.977,1.977,0.0,2025-03-12 23:59:59.999,0.0,0
SSV/USDC,2025-03-12,6.99,6.99,6.99,6.99,0.0,2025-03-12 23:59:59.999,0.0,0
FTM/USDC,2025-03-12,0.7001,0.7001,0.7001,0.7001,0.0,2025-03-12 23:59:59.999,0.0,0
MMS/ETH,2025-03-12,0.01223,0.01223,0.01223,0.01223,0.0,2025-03-12 23:59:59.999,0.0,0
POWR/USDC,2025-03-12,0.2232,0.2232,0.2232,0.2232,0.0,2025-03-12 23:59:59.999,0.0,0
LINK/USDC,2025-03-12,13.14,13.5,12.66,13.28,42767.13399,2025-03-12 23:59:59.999,3274.7789,5731
LADYS/USDC,2025-03-12,4.721e-08,4.721e-08,4.721e-08,4.721e-08,0.0,2025-03-12 23:59:59.999,0.0,0
LRC/USDC,2025-03-12,0.1307,0.1307,0.1307,0.1307,0.0,2025-03-12 23:59:59.999,0.0,0
DODO/USDC,2025-03-12,0.0666,0.0678,0.0645,0.0673,4704.76061,2025-03-12 23:59:59.999,71022.2,895
DEGEN/USDC,2025-03-12,0.1,0.1,0.1,0.1,0.0,2025-03-12 23:59:59.999,0.0,0
LINK/USDT,2025-03-12,203.1,203.1,203.1,203.1,0.0,2025-03-12 23:59:59.999,0.0,0
ZUZALU/USDC,2025-03-12,0.004025,0.004025,0.004025,0.004025,0.0,2025-03-12 23:59:59.999,0.0,0
ZUZALU/ETH,2025-03-12,2.41e-06,2.41e-06,2.41e-06,2.41e-06,0.0,2025-03-12 23:59:59.999,0.0,0
OMG/USDC,2025-03-12,0.2649,0.2649,0.2649,0.2649,0.0,2025-03-12 23:59:59.999,0.0,0
APT/USDC,2025-03-12,5.312,5.369,5.069,5.231,86451.268562,2025-03-12 23:59:59.999,16610.905,12886
PENDLE/USDC,2025-03-12,2.077,2.134,2.013,2.131,56698.271925,2025-03-12 23:59:59.999,27374.396,10767
SAND/USDC,2025-03-12,0.2703,0.2703,0.2703,0.2703,0.0,2025-03-12 23:59:59.999,0.0,0
FXS/USDC,2025-03-12,1.777,1.777,1.777,1.777,0.0,2025-03-12 23:59:59.999,0.0,0
AXS/USDC,2025-03-12,4.305,4.305,4.305,4.305,0.0,2025-03-12 23:59:59.999,0.0,0
W/USDC,2025-03-12,0.1651,0.1651,0.1651,0.1651,0.0,2025-03-12 23:59:59.999,0.0,0
ACH/USDC,2025-03-12,0.03432,0.03432,0.03432,0.03432,0.0,2025-03-12 23:59:59.999,0.0,0
STORJ/USDC,2025-03-12,0.38,0.38,0.38,0.38,0.0,2025-03-12 23:59:59.999,0.0,0
