pair,date,open,high,low,close,volume,close_time,quote_volume,trades
CHZ/USDC,2025-03-14,0.053,0.053,0.053,0.053,0.0,2025-03-14 23:59:59.999,0.0,0
FTM/USDC,2025-03-14,0.7001,0.7001,0.7001,0.7001,0.0,2025-03-14 23:59:59.999,0.0,0
YFI/USDC,2025-03-14,5906.0,5906.0,5906.0,5906.0,0.0,2025-03-14 23:59:59.999,0.0,0
RSS3/USDC,2025-03-14,0.03251,0.03251,0.03251,0.03251,0.0,2025-03-14 23:59:59.999,0.0,0
SSV/USDC,2025-03-14,6.99,6.99,6.99,6.99,0.0,2025-03-14 23:59:59.999,0.0,0
BAL/USDC,2025-03-14,1.977,1.977,1.977,1.977,0.0,2025-03-14 23:59:59.999,0.0,0
MMS/ETH,2025-03-14,0.01223,0.01223,0.01223,0.01223,0.0,2025-03-14 23:59:59.999,0.0,0
DODO/USDC,2025-03-14,0.0681,0.072,0.0678,0.0713,5074.86509,2025-03-14 23:59:59.999,72533.0,958
DEGEN/USDC,2025-03-14,0.1,0.1,0.1,0.1,0.0,2025-03-14 23:59:59.999,0.0,0
ZUZALU/ETH,2025-03-14,2.41e-06,2.41e-06,2.41e-06,2.41e-06,0.0,2025-03-14 23:59:59.999,0.0,0
ZUZALU/USDC,2025-03-14,0.004025,0.004025,0.004025,0.004025,0.0,2025-03-14 23:59:59.999,0.0,0
LINK/USDC,2025-03-14,13.05,14.69,13.01,14.52,98579.856982,2025-03-14 23:59:59.999,7065.6578,12737
LRC/USDC,2025-03-14,0.1307,0.1307,0.1307,0.1307,0.0,2025-03-14 23:59:59.999,0.0,0
LINK/USDT,2025-03-14,203.1,203.1,203.1,203.1,0.0,2025-03-14 23:59:59.999,0.0,0
POWR/USDC,2025-03-14,0.2232,0.2232,0.2232,0.2232,0.0,2025-03-14 23:59:59.999,0.0,0
LADYS/USDC,2025-03-14,4.721e-08,4.721e-08,4.721e-08,4.721e-08,0.0,2025-03-14 23:59:59.999,0.0,0
OMG/USDC,2025-03-14,0.2649,0.2649,0.2649,0.2649,0.0,2025-03-14 23:59:59.999,0.0,0
PENDLE/USDC,2025-03-14,2.034,2.196,2.027,2.196,60244.628988,2025-03-14 23:59:59.999,28735.106,11463
APT/USDC,2025-03-14,5.154,5.331,5.12,5.293,97315.793756,2025-03-14 23:59:59.999,18705.551,14426
SAND/USDC,2025-03-14,0.2703,0.2703,0.2703,0.2703,0.0,2025-03-14 23:59:59.999,0.0,0
AXS/USDC,2025-03-14,4.305,4.305,4.305,4.305,0.0,2025-03-14 23:59:59.999,0.0,0
