pair,date,open,high,low,close,volume,close_time,quote_volume,trades
YFI/USDC,2025-04-13,5906.0,5906.0,5906.0,5906.0,0.0,2025-04-13 23:59:59.999,0.0,0
YFI/USDC,2025-04-14,5906.0,5906.0,5906.0,5906.0,0.0,2025-04-14 23:59:59.999,0.0,0
YFI/USDC,2025-04-15,5906.0,5906.0,5906.0,5906.0,0.0,2025-04-15 23:59:59.999,0.0,0
YFI/USDC,2025-04-16,5906.0,5906.0,5906.0,5906.0,0.0,2025-04-16 23:59:59.999,0.0,0
CHZ/USDC,2025-04-13,0.053,0.053,0.053,0.053,0.0,2025-04-13 23:59:59.999,0.0,0
CHZ/USDC,2025-04-14,0.053,0.053,0.053,0.053,0.0,2025-04-14 23:59:59.999,0.0,0
CHZ/USDC,2025-04-15,0.053,0.053,0.053,0.053,0.0,2025-04-15 23:59:59.999,0.0,0
CHZ/USDC,2025-04-16,0.053,0.053,0.053,0.053,0.0,2025-04-16 23:59:59.999,0.0,0
RSS3/USDC,2025-04-13,0.03251,0.03251,0.03251,0.03251,0.0,2025-04-13 23:59:59.999,0.0,0
RSS3/USDC,2025-04-14,0.03251,0.03251,0.03251,0.03251,0.0,2025-04-14 23:59:59.999,0.0,0
RSS3/USDC,2025-04-15,0.03251,0.03251,0.03251,0.03251,0.0,2025-04-15 23:59:59.999,0.0,0
RSS3/USDC,2025-04-16,0.03251,0.03251,0.03251,0.03251,0.0,2025-04-16 23:59:59.999,0.0,0
FTM/USDC,2025-04-13,0.7001,0.7001,0.7001,0.7001,0.0,2025-04-13 23:59:59.999,0.0,0
FTM/USDC,2025-04-14,0.7001,0.7001,0.7001,0.7001,0.0,2025-04-14 23:59:59.999,0.0,0
FTM/USDC,2025-04-15,0.7001,0.7001,0.7001,0.7001,0.0,2025-04-15 23:59:59.999,0.0,0
FTM/USDC,2025-04-16,0.7001,0.7001,0.7001,0.7001,0.0,2025-04-16 23:59:59.999,0.0,0
MMS/ETH,2025-04-13,0.01223,0.01223,0.01223,0.01223,0.0,2025-04-13 23:59:59.999,0.0,0
MMS/ETH,2025-04-14,0.01223,0.01223,0.01223,0.01223,0.0,2025-04-14 23:59:59.999,0.0,0
MMS/ETH,2025-04-15,0.01223,0.01223,0.01223,0.01223,0.0,2025-04-15 23:59:59.999,0.0,0
MMS/ETH,2025-04-16,0.01223,0.01223,0.01223,0.01223,0.0,2025-04-16 23:59:59.999,0.0,0
BAL/USDC,2025-04-13,1.977,1.977,1.977,1.977,0.0,2025-04-13 23:59:59.999,0.0,0
BAL/USDC,2025-04-14,1.977,1.977,1.977,1.977,0.0,2025-04-14 23:59:59.999,0.0,0
BAL/USDC,2025-04-15,1.977,1.977,1.977,1.977,0.0,2025-04-15 23:59:59.999,0.0,0
BAL/USDC,2025-04-16,1.977,1.977,1.977,1.977,0.0,2025-04-16 23:59:59.999,0.0,0
SSV/USDC,2025-04-13,3.99,3.99,3.99,3.99,0.0,2025-04-13 23:59:59.999,0.0,0
SSV/USDC,2025-04-14,3.99,3.99,3.99,3.99,0.0,2025-04-14 23:59:59.999,0.0,0
SSV/USDC,2025-04-15,3.99,3.99,3.99,3.99,0.0,2025-04-15 23:59:59.999,0.0,0
SSV/USDC,2025-04-16,3.99,3.99,3.99,3.99,0.0,2025-04-16 23:59:59.999,0.0,0
LRC/USDC,2025-04-13,0.1307,0.1307,0.1307,0.1307,0.0,2025-04-13 23:59:59.999,0.0,0
LRC/USDC,2025-04-14,0.1307,0.1307,0.1307,0.1307,0.0,2025-04-14 23:59:59.999,0.0,0
LRC/USDC,2025-04-15,0.1307,0.1307,0.1307,0.1307,0.0,2025-04-15 23:59:59.999,0.0,0
LRC/USDC,2025-04-16,0.1307,0.1307,0.1307,0.1307,0.0,2025-04-16 23:59:59.999,0.0,0
DEGEN/USDC,2025-04-13,0.1,0.1,0.1,0.1,0.0,2025-04-13 23:59:59.999,0.0,0
DEGEN/USDC,2025-04-14,0.1,0.1,0.1,0.1,0.0,2025-04-14 23:59:59.999,0.0,0
DEGEN/USDC,2025-04-15,0.1,0.1,0.1,0.1,0.0,2025-04-15 23:59:59.999,0.0,0
DEGEN/USDC,2025-04-16,0.1,0.1,0.1,0.1,0.0,2025-04-16 23:59:59.999,0.0,0
ZUZALU/ETH,2025-04-13,2.41e-06,2.41e-06,2.41e-06,2.41e-06,0.0,2025-04-13 23:59:59.999,0.0,0
ZUZALU/ETH,2025-04-14,2.41e-06,2.41e-06,2.41e-06,2.41e-06,0.0,2025-04-14 23:59:59.999,0.0,0
ZUZALU/ETH,2025-04-15,2.41e-06,2.41e-06,2.41e-06,2.41e-06,0.0,2025-04-15 23:59:59.999,0.0,0
ZUZALU/ETH,2025-04-16,2.41e-06,2.41e-06,2.41e-06,2.41e-06,0.0,2025-04-16 23:59:59.999,0.0,0
DODO/USDC,2025-04-13,0.0512,0.0514,0.0456,0.0474,5271.37786,2025-04-13 23:59:59.999,107784.6,963
DODO/USDC,2025-04-14,0.0474,0.0486,0.0444,0.0444,5553.56614,2025-04-14 23:59:59.999,118080.8,1031
DODO/USDC,2025-04-15,0.0444,0.0456,0.0418,0.042,4936.8889,2025-04-15 23:59:59.999,111996.1,921
DODO/USDC,2025-04-16,0.042,0.043,0.0413,0.0417,1909.63441,2025-04-16 23:59:59.999,45322.8,341
ZUZALU/USDC,2025-04-13,0.004025,0.004025,0.004025,0.004025,0.0,2025-04-13 23:59:59.999,0.0,0
ZUZALU/USDC,2025-04-14,0.004025,0.004025,0.004025,0.004025,0.0,2025-04-14 23:59:59.999,0.0,0
ZUZALU/USDC,2025-04-15,0.004025,0.004025,0.004025,0.004025,0.0,2025-04-15 23:59:59.999,0.0,0
ZUZALU/USDC,2025-04-16,0.004025,0.004025,0.004025,0.004025,0.0,2025-04-16 23:59:59.999,0.0,0
POWR/USDC,2025-04-13,0.2232,0.2232,0.2232,0.2232,0.0,2025-04-13 23:59:59.999,0.0,0
POWR/USDC,2025-04-14,0.2232,0.2232,0.2232,0.2232,0.0,2025-04-14 23:59:59.999,0.0,0
POWR/USDC,2025-04-15,0.2232,0.2232,0.2232,0.2232,0.0,2025-04-15 23:59:59.999,0.0,0
POWR/USDC,2025-04-16,0.2232,0.2232,0.2232,0.2232,0.0,2025-04-16 23:59:59.999,0.0,0
LINK/USDC,2025-04-13,13.16,13.24,12.44,12.63,60710.73645,2025-04-13 23:59:59.999,4728.8809,8225
LINK/USDC,2025-04-14,12.63,13.25,12.59,12.64,84269.86943,2025-04-14 23:59:59.999,6541.2187,12173
LINK/USDC,2025-04-15,12.64,12.84,12.23,12.25,65868.84122,2025-04-15 23:59:59.999,5244.3578,8995
LINK/USDC,2025-04-16,12.25,12.44,12.06,12.17,19307.25492,2025-04-16 23:59:59.999,1573.9064,2772
LINK/USDT,2025-04-13,203.1,203.1,203.1,203.1,0.0,2025-04-13 23:59:59.999,0.0,0
LINK/USDT,2025-04-14,203.1,203.1,203.1,203.1,0.0,2025-04-14 23:59:59.999,0.0,0
LINK/USDT,2025-04-15,203.1,203.1,203.1,203.1,0.0,2025-04-15 23:59:59.999,0.0,0
LINK/USDT,2025-04-16,203.1,203.1,203.1,203.1,0.0,2025-04-16 23:59:59.999,0.0,0
LADYS/USDC,2025-04-13,4.721e-08,4.721e-08,4.721e-08,4.721e-08,0.0,2025-04-13 23:59:59.999,0.0,0
LADYS/USDC,2025-04-14,4.721e-08,4.721e-08,4.721e-08,4.721e-08,0.0,2025-04-14 23:59:59.999,0.0,0
LADYS/USDC,2025-04-15,4.721e-08,4.721e-08,4.721e-08,4.721e-08,0.0,2025-04-15 23:59:59.999,0.0,0
LADYS/USDC,2025-04-16,4.721e-08,4.721e-08,4.721e-08,4.721e-08,0.0,2025-04-16 23:59:59.999,0.0,0
OMG/USDC,2025-04-13,0.2649,0.2649,0.2649,0.2649,0.0,2025-04-13 23:59:59.999,0.0,0
OMG/USDC,2025-04-14,0.2649,0.2649,0.2649,0.2649,0.0,2025-04-14 23:59:59.999,0.0,0
OMG/USDC,2025-04-15,0.2649,0.2649,0.2649,0.2649,0.0,2025-04-15 23:59:59.999,0.0,0
OMG/USDC,2025-04-16,0.2649,0.2649,0.2649,0.2649,0.0,2025-04-16 23:59:59.999,0.0,0
AXS/USDC,2025-04-13,4.305,4.305,4.305,4.305,0.0,2025-04-13 23:59:59.999,0.0,0
AXS/USDC,2025-04-14,4.305,4.305,4.305,4.305,0.0,2025-04-14 23:59:59.999,0.0,0
AXS/USDC,2025-04-15,4.305,4.305,4.305,4.305,0.0,2025-04-15 23:59:59.999,0.0,0
AXS/USDC,2025-04-16,4.305,4.305,4.305,4.305,0.0,2025-04-16 23:59:59.999,0.0,0
PENDLE/USDC,2025-04-13,3.459,3.537,3.176,3.222,261647.194423,2025-04-13 23:59:59.999,78073.303,37012
PENDLE/USDC,2025-04-14,3.222,3.341,3.093,3.109,235505.482357,2025-04-14 23:59:59.999,73416.845,37518
PENDLE/USDC,2025-04-15,3.109,3.244,3.015,3.048,170851.693375,2025-04-15 23:59:59.999,54460.896,26839
PENDLE/USDC,2025-04-16,3.048,3.189,3.025,3.127,84761.247245,2025-04-16 23:59:59.999,27225.486,13137
APT/USDC,2025-04-13,4.967,5.205,4.755,4.828,110355.854938,2025-04-13 23:59:59.999,22273.392,16481
APT/USDC,2025-04-14,4.828,5.002,4.776,4.813,130428.053103,2025-04-14 23:59:59.999,26674.277,19223
APT/USDC,2025-04-15,4.813,4.832,4.616,4.626,116808.389007,2025-04-15 23:59:59.999,24759.07,16997
