pair,date,open,high,low,close,volume,close_time,quote_volume,trades
CHZ/USDC,2025-02-28,0.053,0.053,0.053,0.053,0.0,2025-02-28 23:59:59.999,0.0,0
CHZ/USDC,2025-03-01,0.053,0.053,0.053,0.053,0.0,2025-03-01 23:59:59.999,0.0,0
CHZ/USDC,2025-03-02,0.053,0.053,0.053,0.053,0.0,2025-03-02 23:59:59.999,0.0,0
CHZ/USDC,2025-03-03,0.053,0.053,0.053,0.053,0.0,2025-03-03 23:59:59.999,0.0,0
SSV/USDC,2025-02-28,11.15,11.2,10.01,10.09,25520.2147,2025-02-28 23:59:59.999,2450.5733,4870
SSV/USDC,2025-03-01,10.09,10.09,10.09,10.09,0.0,2025-03-01 23:59:59.999,0.0,0
SSV/USDC,2025-03-02,10.09,10.09,10.09,10.09,0.0,2025-03-02 23:59:59.999,0.0,0
SSV/USDC,2025-03-03,10.09,10.09,10.09,10.09,0.0,2025-03-03 23:59:59.999,0.0,0
RSS3/USDC,2025-02-28,0.05878,0.05877,0.05318,0.05324,3856.259191,2025-02-28 23:59:59.999,70289.1,1957
RSS3/USDC,2025-03-01,0.05324,0.05324,0.05324,0.05324,0.0,2025-03-01 23:59:59.999,0.0,0
RSS3/USDC,2025-03-02,0.05324,0.05324,0.05324,0.05324,0.0,2025-03-02 23:59:59.999,0.0,0
RSS3/USDC,2025-03-03,0.05324,0.05324,0.05324,0.05324,0.0,2025-03-03 23:59:59.999,0.0,0
BAL/USDC,2025-02-28,1.977,1.977,1.977,1.977,0.0,2025-02-28 23:59:59.999,0.0,0
BAL/USDC,2025-03-01,1.977,1.977,1.977,1.977,0.0,2025-03-01 23:59:59.999,0.0,0
BAL/USDC,2025-03-02,1.977,1.977,1.977,1.977,0.0,2025-03-02 23:59:59.999,0.0,0
BAL/USDC,2025-03-03,1.977,1.977,1.977,1.977,0.0,2025-03-03 23:59:59.999,0.0,0
MMS/ETH,2025-02-28,0.01223,0.01223,0.01223,0.01223,0.0,2025-02-28 23:59:59.999,0.0,0
MMS/ETH,2025-03-01,0.01223,0.01223,0.01223,0.01223,0.0,2025-03-01 23:59:59.999,0.0,0
MMS/ETH,2025-03-02,0.01223,0.01223,0.01223,0.01223,0.0,2025-03-02 23:59:59.999,0.0,0
MMS/ETH,2025-03-03,0.01223,0.01223,0.01223,0.01223,0.0,2025-03-03 23:59:59.999,0.0,0
YFI/USDC,2025-02-28,5906.0,5906.0,5906.0,5906.0,0.0,2025-02-28 23:59:59.999,0.0,0
YFI/USDC,2025-03-01,5906.0,5906.0,5906.0,5906.0,0.0,2025-03-01 23:59:59.999,0.0,0
YFI/USDC,2025-03-02,5906.0,5906.0,5906.0,5906.0,0.0,2025-03-02 23:59:59.999,0.0,0
YFI/USDC,2025-03-03,5906.0,5906.0,5906.0,5906.0,0.0,2025-03-03 23:59:59.999,0.0,0
FTM/USDC,2025-02-28,0.7001,0.7001,0.7001,0.7001,0.0,2025-02-28 23:59:59.999,0.0,0
FTM/USDC,2025-03-01,0.7001,0.7001,0.7001,0.7001,0.0,2025-03-01 23:59:59.999,0.0,0
FTM/USDC,2025-03-02,0.7001,0.7001,0.7001,0.7001,0.0,2025-03-02 23:59:59.999,0.0,0
FTM/USDC,2025-03-03,0.7001,0.7001,0.7001,0.7001,0.0,2025-03-03 23:59:59.999,0.0,0
DODO/USDC,2025-02-28,0.0865,0.0869,0.0796,0.0856,19565.2558,2025-02-28 23:59:59.999,235505.7,3726
DODO/USDC,2025-03-01,0.0856,0.0863,0.0812,0.0836,8106.23444,2025-03-01 23:59:59.999,97349.9,1543
